,REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
102,384000499,"                                                  USA, Connecticut (2008-2012)","USA, Connecticut",False,USA,0,0,1
103,384000410,"                                          *USA, Connecticut: White (2008-2012)","USA, Connecticut: White",True,USA,0,0,1
104,384000430,"                                          *USA, Connecticut: Black (2008-2012)","USA, Connecticut: Black",True,USA,0,0,1
105,384004199,"                                                     USA, Delaware (2008-2012)","USA, Delaware",False,USA,0,0,1
106,384004110,"                                              USA, Delaware: White (2008-2012)","USA, Delaware: White",False,USA,0,0,1
107,384004130,"                                              USA, Delaware: Black (2008-2012)","USA, Delaware: Black",False,USA,0,0,1
108,384005599,"                                                      USA, Florida (2008-2012)","USA, Florida",False,USA,0,0,1
109,384005510,"                                               USA, Florida: White (2008-2012)","USA, Florida: White",False,USA,0,0,1
110,384005530,"                                               USA, Florida: Black (2008-2012)","USA, Florida: Black",False,USA,0,0,1
111,384005699,"                                                      USA, Georgia (2008-2012)","USA, Georgia",False,USA,0,0,1
112,384005610,"                                               USA, Georgia: White (2008-2012)","USA, Georgia: White",False,USA,0,0,1
113,384005630,"                                               USA, Georgia: Black (2008-2012)","USA, Georgia: Black",False,USA,0,0,1
114,384000599,"                                             USA, Georgia, Atlanta (2008-2012)","USA, Georgia, Atlanta",False,USA,0,0,1
115,384000510,"                                     *USA, Georgia, Atlanta: White (2008-2012)","USA, Georgia, Atlanta: White",True,USA,0,0,1
116,384000530,"                                     *USA, Georgia, Atlanta: Black (2008-2012)","USA, Georgia, Atlanta: Black",True,USA,0,0,1
117,384005799,"                                                        USA, Idaho (2008-2012)","USA, Idaho",False,USA,0,0,1
118,384005899,"                                                     USA, Illinois (2008-2012)","USA, Illinois",False,USA,0,0,1
119,384005810,"                                              USA, Illinois: White (2008-2012)","USA, Illinois: White",False,USA,0,0,1
120,384005830,"                                              USA, Illinois: Black (2008-2012)","USA, Illinois: Black",False,USA,0,0,1
121,384005999,"                                                      USA, Indiana (2008-2012)","USA, Indiana",False,USA,0,0,1
122,384005910,"                                               USA, Indiana: White (2008-2012)","USA, Indiana: White",False,USA,0,0,1
123,384005930,"                                               USA, Indiana: Black (2008-2012)","USA, Indiana: Black",False,USA,0,0,1
124,384000699,"                                                         USA, Iowa (2008-2012)","USA, Iowa",False,USA,0,0,1
125,384001999,"                                                     USA, Kentucky (2008-2012)","USA, Kentucky",False,USA,0,0,1
126,384002299,"                                                    USA, Louisiana (2008-2012)","USA, Louisiana",False,USA,0,0,1
127,384002210,"                                             USA, Louisiana: White (2008-2012)","USA, Louisiana: White",False,USA,0,0,1
128,384002230,"                                             USA, Louisiana: Black (2008-2012)","USA, Louisiana: Black",False,USA,0,0,1
129,384000799,"                                       USA, Louisiana, New Orleans (2008-2012)","USA, Louisiana, New Orleans",False,USA,0,0,1
130,384000710,"                               *USA, Louisiana, New Orleans: White (2008-2012)","USA, Louisiana, New Orleans: White",True,USA,0,0,1
131,384000730,"                               *USA, Louisiana, New Orleans: Black (2008-2012)","USA, Louisiana, New Orleans: Black",True,USA,0,0,1
132,384006199,"                                                        USA, Maine (2008-2012)","USA, Maine",False,USA,0,0,1
133,384004299,"                                                     USA, Maryland (2008-2012)","USA, Maryland",False,USA,0,0,1
134,384004210,"                                              USA, Maryland: White (2008-2012)","USA, Maryland: White",False,USA,0,0,1
135,384004230,"                                              USA, Maryland: Black (2008-2012)","USA, Maryland: Black",False,USA,0,0,1
136,384006099,"                                                USA, Massachusetts (2008-2012)","USA, Massachusetts",False,USA,0,0,1
137,384006010,"                                         USA, Massachusetts: White (2008-2012)","USA, Massachusetts: White",False,USA,0,0,1
138,384006030,"                                         USA, Massachusetts: Black (2008-2012)","USA, Massachusetts: Black",False,USA,0,0,1
139,384006299,"                                                     USA, Michigan (2008-2012)","USA, Michigan",False,USA,0,0,1
140,384006210,"                                              USA, Michigan: White (2008-2012)","USA, Michigan: White",False,USA,0,0,1
141,384006230,"                                              USA, Michigan: Black (2008-2012)","USA, Michigan: Black",False,USA,0,0,1
142,384000899,"                                            USA, Michigan, Detroit (2008-2012)","USA, Michigan, Detroit",False,USA,0,0,1
143,384000810,"                                    *USA, Michigan, Detroit: White (2008-2012)","USA, Michigan, Detroit: White",True,USA,0,0,1
144,384000830,"                                    *USA, Michigan, Detroit: Black (2008-2012)","USA, Michigan, Detroit: Black",True,USA,0,0,1
145,384004399,"                                                    USA, Minnesota (2008-2012)","USA, Minnesota",False,USA,0,0,1
146,384004499,"                                                  USA, Mississippi (2008-2012)","USA, Mississippi",False,USA,0,0,1
147,384006399,"                                                     USA, Missouri (2008-2012)","USA, Missouri",False,USA,0,0,1
148,384006310,"                                              USA, Missouri: White (2008-2012)","USA, Missouri: White",False,USA,0,0,1
149,384006330,"                                              USA, Missouri: Black (2008-2012)","USA, Missouri: Black",False,USA,0,0,1
150,384006499,"                                                      USA, Montana (2008-2012)","USA, Montana",False,USA,0,0,1
151,384004799,"                                                     USA, Nebraska (2008-2012)","USA, Nebraska",False,USA,0,0,1
152,384004710,"                                              USA, Nebraska: White (2008-2012)","USA, Nebraska: White",False,USA,0,0,1
153,384004730,"                                              USA, Nebraska: Black (2008-2012)","USA, Nebraska: Black",False,USA,0,0,1
154,384004999,"                                                       USA, Nevada (2008-2012)","USA, Nevada",False,USA,0,0,1
155,384004910,"                                                USA, Nevada: White (2008-2012)","USA, Nevada: White",False,USA,0,0,1
156,384004930,"                                                USA, Nevada: Black (2008-2012)","USA, Nevada: Black",False,USA,0,0,1
157,384004899,"                                                USA, New Hampshire (2008-2012)","USA, New Hampshire",False,USA,0,0,1
158,384001599,"                                                   USA, New Jersey (2008-2012)","USA, New Jersey",False,USA,0,0,1
159,384001510,"                                            USA, New Jersey: White (2008-2012)","USA, New Jersey: White",False,USA,0,0,1
